"Date","tffc"
"2017-11-30",6.509779
"2017-12-31",7.493366
"2018-01-31",7.911819
"2018-02-28",6.47658
"2018-03-31",6.990649
"2018-04-30",6.252246
"2018-05-31",6.219886
"2018-06-30",6.380783
"2018-07-31",6.904313
"2018-08-31",6.97706
"2018-09-30",6.322819
"2018-10-31",6.564261
"2018-11-30",6.943583
"2018-12-31",7.336542
"2019-01-31",7.838231
"2019-02-28",6.835727
"2019-03-31",7.031288
"2019-04-30",6.011698
"2019-05-31",6.175787
"2019-06-30",6.189718
"2019-07-31",6.811535
"2019-08-31",6.86216
"2019-09-30",6.26438
"2019-10-31",6.3538
"2019-11-30",6.814014
"2019-12-31",7.236205
"2020-01-31",7.230035
"2020-02-29",6.7023
"2020-03-31",6.239582
"2020-04-30",4.97187
"2020-05-31",5.122613
"2020-06-30",5.523024
"2020-07-31",6.338741
"2020-08-31",6.330145
"2020-09-30",5.727728
"2020-10-31",5.925301
"2020-11-30",5.963724
"2020-12-31",7.001264
"2021-01-31",7.210939
"2021-02-28",6.614624
"2021-03-31",6.357527
"2021-04-30",5.875228
"2021-05-31",5.953166
"2021-06-30",6.318544
"2021-07-31",6.696717
"2021-08-31",6.783647
"2021-09-30",6.079996
"2021-10-31",6.157526
"2021-11-30",6.466033
"2021-12-31",6.916527
"2022-01-31",7.66898
"2022-02-28",6.763628
"2022-03-31",6.689434
"2022-04-30",5.996958
"2022-05-31",6.065854
"2022-06-30",6.284931
"2022-07-31",6.736891
"2022-08-31",6.755154
"2022-09-30",6.14428
"2022-10-31",6.179721
"2022-11-30",6.553431
